2021/01/20 23:14:56 , aa , 今日 は  , 0.46,
2021/01/20 23:14:59 , aa , と 思う と 思う  , 0.55,
2021/01/20 23:15:08 , aa , D_エー ちなみに さあ 明日 って  , 0.62,
2021/01/20 23:15:10 , aa , できる タイミング が ある  , 0.7,
2021/01/20 23:15:22 , aa , 21  , 0.97,
2021/01/20 23:15:25 , aa , 昼 まで  , 0.76,
2021/01/20 23:15:27 , aa , 家  , 0.66,
2021/01/20 23:15:30 , aa , Watson 金曜  , 0.74,
2021/01/20 23:15:32 , aa , と  , 0.47,
2021/01/20 23:15:38 , aa , あと D_アノー 別に 土日 か 土日  , 0.72,
2021/01/20 23:15:45 , aa , の 昼 から とか なら できる か ちょっと 金曜 と 月曜 が ちょっと ちょっと 厳しい から  , 0.88,
2021/01/20 23:15:48 , aa , うん  , 0.25,
2021/01/20 23:15:53 , aa , そう ですね 明日  , 0.86,
2021/01/20 23:15:55 , aa , ぜひ 昼過ぎ から  , 0.81,
2021/01/20 23:15:58 , aa , 何時 くらい まで いける  , 0.43,
2021/01/20 23:16:06 , aa , D_ア 系  , 0.71,
2021/01/20 23:16:09 , aa , ちょっと 異常 だ  , 0.65,
2021/01/20 23:16:14 , aa , 私  , 0.83,
